league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
LaLiga,13877,Manuel Morlanes Ariño,RCD Mallorca,Manu Morlanes,Mallorca,11384,0.22954822954822968,FALSE,1,FALSE,FALSE,manuel|morlanes|arino,manu|morlanes
LaLiga,13881,Santiago Comesaña Veiga,Villarreal CF,Santi Comesaña,Villarreal,12194,0.23757763975155274,TRUE,1,FALSE,FALSE,santiago|comesana|veiga,santi|comesana
LaLiga,13885,Javier López Carballo,Real Oviedo,Javier Llabrés,Mallorca,161585,0.23214285714285726,FALSE,1,FALSE,FALSE,javier|lopez|carballo,javier|llabres
LaLiga,13903,Daniel Vivian Moreno,Athletic Club de Bilbao,Dani Vivian,Athletic Club,41542,0.1500000000000001,FALSE,1,FALSE,FALSE,daniel|vivian|moreno,dani|vivian
LaLiga,13922,Francisco José Beltrán Peinado,RC Celta de Vigo,Francisco Gracia,Levante UD,434033,0.21944444444444444,FALSE,1,FALSE,FALSE,francisco|jose|beltran|peinado,francisco|gracia
LaLiga,13932,Javier Puado Díaz,RCD Espanyol,Javi Puado,Espanyol,11390,0.13725490196078433,FALSE,1,FALSE,FALSE,javier|puado|diaz,javi|puado
LaLiga,13977,Enrique García Martínez,RCD Espanyol,Raúl García,Osasuna,32050,0.2520421607378129,FALSE,1,FALSE,FALSE,enrique|garcia|martinez,raul|garcia
LaLiga,14002,Juan Camilo Hernández Suárez,Real Betis Balompié,Juanmi,Getafe,6695,0.2619047619047619,FALSE,0,FALSE,FALSE,juan|camilo|hernandez|suarez,juanmi
LaLiga,14102,Alejandro Berenguer Remiro,Athletic Club de Bilbao,Alejandro Rego,Athletic Club,315468,0.17765567765567766,FALSE,1,FALSE,FALSE,alejandro|berenguer|remiro,alejandro|rego
LaLiga,16062,Raphael Dias Belloli,FC Barcelona,Lander Pinillos,Deportivo Alavés,477326,0.23803418803418813,FALSE,0,FALSE,FALSE,raphael|dias|belloli,lander|pinillos
LaLiga,16261,Marcos do Nascimento Teixeira,Sevilla FC,Marcos Alonso,Celta Vigo,3964,0.262709991158267,FALSE,1,FALSE,FALSE,marcos|nascimento|teixeira,marcos|alonso
LaLiga,22883,Rafael Mir Vicente,Elche CF,Rafa Mir,Elche,23812,0.18518518518518517,FALSE,1,FALSE,FALSE,rafael|mir|vicente,rafa|mir
LaLiga,23778,Ignacio Vidal Miralles,Real Oviedo,Iñaki Williams,Athletic Club,6393,0.2546897546897547,FALSE,0,FALSE,FALSE,ignacio|vidal|miralles,inaki|williams
LaLiga,24078,Eduardo Expósito Jaén,RCD Espanyol,Edu Expósito,Espanyol,6910,0.26785714285714296,FALSE,1,FALSE,FALSE,eduardo|exposito|jaen,edu|exposito
LaLiga,24084,Mateu Jaume Morey Bauzà,RCD Mallorca,Mate Morey,Mallorca,36728,0.23840579710144938,FALSE,1,FALSE,FALSE,mateu|jaume|morey|bauza,mate|morey
LaLiga,24453,Manuel Sánchez De La Peña,Levante UD,Manuel Fernández,Celta Vigo,407243,0.23595238095238097,FALSE,1,FALSE,FALSE,manuel|sanchez|pena,manuel|fernandez
LaLiga,25639,Daniel Pedro Calvo San Román,Real Oviedo,Daniel Olmo,Barcelona,16532,0.24458874458874474,FALSE,1,FALSE,FALSE,daniel|pedro|calvo|san|roman,daniel|olmo
LaLiga,25697,Alejandro Baena Rodríguez,Atlético Madrid,Alejandro Catena,Osasuna,24978,0.18833333333333335,FALSE,1,FALSE,FALSE,alejandro|baena|rodriguez,alejandro|catena
LaLiga,25738,Pedro González López,FC Barcelona,Urko González,Real Sociedad,48647,0.20128205128205134,FALSE,1,FALSE,FALSE,pedro|gonzalez|lopez,urko|gonzalez
LaLiga,25892,Isaac Palazón Camacho,Rayo Vallecano,Isco,Real Betis,4926,0.2698412698412698,FALSE,0,FALSE,FALSE,isaac|palazon|camacho,isco
LaLiga,27263,Antonio Martínez López,Deportivo Alavés,Antonio Raillo,Mallorca,24086,0.1858141858141857,FALSE,1,FALSE,FALSE,antonio|martinez|lopez,antonio|raillo
LaLiga,29176,José Luis García Vayá,Valencia CF,José Gayá,Valencia,6596,0.24338624338624346,TRUE,1,FALSE,FALSE,jose|luis|garcia|vaya,jose|gaya
LaLiga,32127,Josep María Chavarría Pérez,Rayo Vallecano,Sergio Carreira,Celta Vigo,49531,0.31366843033509706,FALSE,0,FALSE,FALSE,josep|maria|chavarria|perez,sergio|carreira
LaLiga,35342,Nicholas Williams Arthuer,Athletic Club de Bilbao,Nico Williams,Athletic Club,68574,0.2625641025641027,FALSE,1,FALSE,FALSE,nicholas|williams|arthuer,nico|williams
